,MODEL_TYPE,FILE_NAME,NUM_NODES,PARTITION_ID,METHOD,NUM_PARTITIONS,GEN_PARTITION,NX_NVI,NX_NMI,NX_RAND_IDX,IG_NVI,IG_NMI,IG_RAND_IDX,IG_MOD,NX_MOD
0,model,./data/model/256_4_4_4_13_18_p.net,256,1,Garvin-Newman,1,True,0.0,1.0,1.0,0.0,1.0,1.0,0.6967733384846297,0.6967733384846297
1,model,./data/model/256_4_4_4_13_18_p.net,256,1,Greedy,1,True,0.0,1.0,1.0,0.24999999999999997,0.6666666666666667,0.8117647058823529,0.6967733384846297,0.6967733384846297
2,model,./data/model/256_4_4_4_13_18_p.net,256,1,Label-Propagation,1,True,0.1823826403745813,0.6993001090930431,0.8274509803921569,0.0,1.0,1.0,0.6359403950617938,0.6359403950617938
3,model,./data/model/256_4_4_2_15_18_p.net,256,1,Garvin-Newman,1,True,0.13637520513789816,0.8458524143354388,0.9335477941176471,0.11527255861065223,0.8697083946784426,0.9372549019607843,0.7603253172067089,0.7603253172067089
4,model,./data/model/256_4_4_2_15_18_p.net,256,1,Greedy,1,True,0.13637520513789816,0.8458524143354388,0.9335477941176471,0.03125000000000024,0.9677419354838707,0.9843137254901961,0.7603253172067089,0.7603253172067089
5,model,./data/model/256_4_4_2_15_18_p.net,256,1,Label-Propagation,1,True,0.18477722230002513,0.7733414382491305,0.819607843137255,0.0711697661704859,0.9240712820941445,0.9511029411764707,0.6488409762300921,0.6488409762300921
6,model,./data/model/rb125.net,125,1,Garvin-Newman,3,True,0.21520514598518756,0.8089475721892752,0.9123870967741934,0.19938560642103859,0.8254431596337088,0.9188387096774192,0.6168970001542905,0.6168970001542905
7,model,./data/model/rb125.net,125,1,Greedy,3,True,0.21520514598518756,0.8089475721892752,0.9123870967741934,0.06616935989146285,0.9484560438779565,0.9801290322580644,0.6168970001542905,0.6168970001542905
8,model,./data/model/rb125.net,125,1,Label-Propagation,3,True,0.29121003865206374,0.7540328451483371,0.8799999999999999,0.6708122334277671,0.0,0.03174193548387083,0.5180189115916156,0.5180189115916156
9,model,./data/model/rb125.net,125,2,Garvin-Newman,3,True,0.21105957922408658,0.8119357434393486,0.9129032258064516,0.1952400396599376,0.82844988126609,0.9193548387096774,0.6168970001542905,0.6168970001542905
10,model,./data/model/rb125.net,125,2,Greedy,3,True,0.21105957922408658,0.8119357434393486,0.9129032258064516,0.07467305601388777,0.942195679046848,0.9812903225806452,0.6168970001542905,0.6168970001542905
11,model,./data/model/rb125.net,125,2,Label-Propagation,3,True,0.2870644718909628,0.7566823718803404,0.8805161290322581,0.6666666666666661,0.0,0.032258064516129004,0.5180189115916156,0.5180189115916156
12,model,./data/model/rb125.net,125,3,Garvin-Newman,3,True,0.2427509272972985,0.6923076560603194,0.8612903225806452,0.13809329367339537,0.8284043684093798,0.9193548387096774,0.6168970001542905,0.6168970001542905
13,model,./data/model/rb125.net,125,3,Greedy,3,True,0.2427509272972985,0.6923076560603194,0.8612903225806452,0.35896946138019376,0.6305738883388604,0.8296774193548386,0.6168970001542905,0.6168970001542905
14,model,./data/model/rb125.net,125,3,Label-Propagation,3,True,0.3043177224170528,0.640481786607076,0.8263225806451613,0.3333333333333333,0.0,0.19354838709677424,0.5180189115916156,0.5180189115916156
